date,USD_exchange_rate,EUR_exchange_rate
2017-10-31,3039.8,3542.5
2017-11-30,3011.0,3580.75
2017-12-29,2981.0,3577.38
2018-01-31,2829.4,3513.04
2018-02-28,2864.5,3495.27
2018-03-30,2789.0,3438.41
2018-04-30,2804.0,3388.39
2018-05-31,2890.9,3386.87
2018-06-29,2929.3,3424.81
2018-07-31,2888.1,3378.26
2018-08-31,3045.3,3534.13
2018-09-28,2959.8,3436.05
2018-10-31,3215.1,3643.53
2018-11-30,3232.5,3660.83
2018-12-31,3246.0,3724.19
2019-01-31,3102.3,3551.85
2019-02-28,3080.3,3503.69
2019-03-29,3186.03,3576.21
2019-04-30,3231.25,3624.98
2019-05-31,3374.0,3769.31
2019-06-28,3211.0,3653.88
2019-07-31,3277.0,3631.03
2019-08-30,3438.0,3779.85
2019-09-30,3476.0,3788.78
2019-10-31,3377.0,3769.25
2019-11-29,3515.5,3875.8
2019-12-31,3284.0,3683.6
2020-01-31,3417.0,3791.05
2020-02-28,3522.0,3885.71
2020-03-31,4058.0,4474.23
2020-04-30,3951.0,4324.41
2020-05-29,3726.0,4139.77
2020-06-30,3754.75,4219.2
2020-07-31,3731.33,4393.63
2020-08-31,3738.95,4464.53
2020-09-30,3825.25,4486.23
2020-10-30,3888.0,4530.97
2020-11-30,3594.25,4288.87
2020-12-31,3414.5,4172.63
2021-01-29,3567.63,4331.59
2021-02-26,3644.5,4403.12
2021-03-31,3658.95,4294.68
2021-04-30,3751.43,4511.54
2021-05-31,3705.75,4531.69
2021-06-30,3747.0,4446.04
2021-07-30,3874.0,4599.83
2021-08-31,3766.68,4451.18
2021-09-30,3805.33,4409.92
2021-10-29,3757.53,4354.14
2021-11-30,3992.2,4530.21
2021-12-31,4065.41,4629.01
2022-01-31,3941.41,4428.54
2022-02-28,3933.01,4413.68
2022-03-31,3767.82,4175.65
2022-04-29,3950.95,4172.32
2022-05-31,3760.6,4037.76
2022-06-30,4141.97,4352.81
2022-07-29,4277.6,4375.28
2022-08-31,4421.95,4446.05
2022-09-30,4604.13,4518.56
2022-10-31,4929.35,4872.24
