,Total flow
0,-6917419548.929291
1,-6773816467.963593
2,-6012424059.231354
3,-6333574975.030884
4,-5822405439.255188
5,-13662881848.662292
6,-6118689217.46788
7,-13225829526.854523
8,-8243313508.420914
9,-6642965155.912537
10,-10297231465.070557
11,-6347992214.768768
12,-5696861040.300293
13,-10914271645.878662
14,-8632616189.103577
15,-6189990018.523315
16,-2731414028.300293
17,-2619986780.363205
18,-12271286279.063354
19,-10141658158.87349
20,-9218309328.570389
21,-12323645104.020721
22,-4148756914.8500977
23,-12017807773.109955
24,-1147264803.5825806
25,-5103658631.59166
26,-9435956853.231522
27,-6406655493.5876465
28,-10053187951.89856
29,-5208742457.009399
30,-9301236681.08577
31,-12088588894.367798
32,-9304358641.42096
33,-7309327467.244232
34,-10324081072.19806
35,-4404126446.781982
36,-7295560199.693207
37,-5723096997.525528
38,-3556127720.3575287
39,-6838591974.235779
40,-12646304567.655258
41,-12083228713.63472
42,-5522405010.317047
43,-10137757615.241516
44,-7958792499.890717
45,-12776826357.23233
46,-8399656410.130127
47,-7478442367.130371
48,626706636.551239
49,-15310434870.477844
50,-4198280513.7744446
51,-4147448093.0991516
52,-2658804022.796509
53,-4006223644.298218
54,-12503880268.329102
55,-919856728.3741455
56,-5445194721.036621
57,-4631918553.106079
58,-6504746587.731964
59,-11514569125.698273
60,-8067246872.347229
61,-10842428412.78003
62,-8925676546.852142
63,-8335284545.003693
64,-11828008284.666718
65,-8808509389.782562
66,-6510539579.077194
67,-4667159427.687927
68,-6615352304.81163
69,-9032424965.44693
70,-11468461030.658752
71,-9641060092.902145
72,-8798664657.554138
73,-4723468026.213257
74,-4719320947.769836
75,-10246625910.161682
76,-14029422003.802597
77,-8301791805.497437
78,-6681377815.594772
79,-11504923315.400696
80,-9394661846.756744
81,-2281916366.285385
82,-14675321391.047379
83,-6230273743.605423
84,-8920637801.552063
85,-10949238747.149185
86,-9077076217.0094
87,-2558811430.244873
88,-8690694793.19751
89,-6714598102.212448
90,-4895308831.555389
91,-13211863833.637253
92,-9701132500.364502
93,-7327486896.827454
94,-8902836286.394379
95,-18258325706.68062
96,-13679522165.992218
97,-5955429330.211563
98,-6802572582.776672
99,-7041482544.472534
100,-8199698253.027435
101,-6991938735.028839
102,-14329286436.906555
103,-2908088007.9174805
104,-3815971678.363312
105,-4310774509.427689
106,-9418417168.914703
107,-3131703159.5266724
108,-8386157251.907806
109,-6099469475.969223
110,-10287908073.465225
111,-12365781948.942276
112,-2940089161.5242615
113,-4897547732.772644
114,-13122639645.481812
115,-4733911397.821259
116,-2724266025.225815
117,-10933233139.346329
118,-2034745948.662674
119,-10321167186.985016
120,-7430044496.141693
121,-6440670831.650864
122,-12148854934.750778
123,-8660658582.085144
124,-4048803220.8084106
125,-4201207373.7515564
126,-5524408531.825317
127,-5416290772.171234
128,-7448114165.645508
129,-8609808183.938614
130,-6005842266.077713
