,Time,USD exchange rate,EUR exchange rate
0,1.0,4600.0,4500.0
1,2.0,4624.643631663011,4413.774169138197
2,3.0,4712.1857128662805,4495.897879598518
3,4.0,4792.344452996024,4448.660252953826
4,5.0,4725.148006723714,4599.1806037288525
5,6.0,4664.145529312494,4426.003073930154
6,7.0,4662.621593938328,4425.340992532942
7,8.0,4581.870986944769,4422.81442889369
8,9.0,4203.583150316139,4131.753295917219
9,10.0,4244.980593521677,4221.511370953169
10,11.0,4605.605204834244,4417.061073554531
11,12.0,4753.446849224142,4622.376478617018
12,13.0,4885.12673253974,4727.1528027246795
13,14.0,4945.64981511811,4737.378747745394
14,15.0,5020.295926658501,4619.694005915183
15,1.0,4600.0,4500.0
16,2.0,4575.2777276794395,4533.8794732569095
17,3.0,5121.7974391092375,5008.030949223929
18,4.0,4760.848701972004,4618.58623265505
19,5.0,4875.316794488435,4814.54299917582
20,6.0,4919.883235022488,4944.61983124341
21,7.0,4779.132234113474,4918.979009356684
22,8.0,4519.566073939254,4945.142156304607
23,9.0,4680.505877245241,5120.681712450267
24,10.0,4932.111326639845,5370.2064939760085
25,11.0,5168.568607980868,5610.0853638185245
26,12.0,4966.415108280472,5503.81959337652
27,13.0,4755.803591372598,5255.758941356063
28,14.0,4890.322072943285,5410.001224057006
29,15.0,4626.952719416862,5209.917021421634
30,1.0,4600.0,4500.0
31,2.0,4558.63805415265,4489.793704998996
32,3.0,4671.383109608124,4554.416170174079
33,4.0,4912.084808777574,4803.953474466938
34,5.0,5014.988792999722,4936.298057186905
35,6.0,5246.044773152394,5181.955934387777
36,7.0,5181.186702446496,5110.339228369045
37,8.0,4973.1863112944675,4949.184422515024
38,9.0,4835.169582823282,4834.341340412457
39,10.0,4596.277977622912,4547.49601403586
40,11.0,4571.012851938218,4552.98729261966
41,12.0,4687.06385768119,4789.170420343925
42,13.0,4625.526132923595,4806.40733585059
43,14.0,4572.886448185448,4686.881978181308
44,15.0,4700.032313063036,4812.347019997345
45,1.0,4600.0,4500.0
46,2.0,4547.035309779527,4472.991232007808
47,3.0,4638.848727889452,4520.364427052743
48,4.0,4745.509684109771,4619.881515769487
49,5.0,4629.855193133143,4536.037136962702
50,6.0,4398.669827113907,4409.826241994633
51,7.0,4353.614750756583,4457.737922141535
52,8.0,4348.272174052709,4559.542232182152
53,9.0,4438.8679851579955,4589.515040256816
54,10.0,4608.973484841247,4766.295394268879
55,11.0,4357.922553938697,4552.62350922109
56,12.0,4438.342424244925,4600.034918152272
57,13.0,4355.61127839006,4370.439374800823
58,14.0,4444.210491284334,4379.973804510518
59,15.0,4745.291118791474,4529.61255824765
60,1.0,4600.0,4500.0
61,2.0,4973.42759241524,4695.304529412104
62,3.0,4946.450733544821,4667.436270423963
63,4.0,4987.951851436585,4538.128441346407
64,5.0,5160.340147483606,4712.997662386148
65,6.0,5110.824815543321,4771.932586695718
66,7.0,5220.762879665021,4896.840923500722
67,8.0,5240.189036295914,4804.589221660646
68,9.0,5385.157927672211,4930.964781075919
69,10.0,5414.435662212598,5090.092652351346
70,11.0,5512.435199724612,5214.108097433418
71,12.0,5548.980482553238,5174.005196382777
72,13.0,5364.906395590545,5064.490682057587
73,14.0,4939.469656392674,4700.551300211519
74,15.0,5269.646151364548,4836.596890344056
75,1.0,4600.0,4500.0
76,2.0,4750.281408114143,4566.936913349381
77,3.0,4552.744902853725,4352.287232016452
78,4.0,4619.549324751516,4331.465676511773
79,5.0,4845.417814108692,4581.044640160858
80,6.0,5104.1371198383395,4690.290926012837
81,7.0,4747.798377894903,4433.953986044225
82,8.0,4562.11881354566,4270.276718786564
83,9.0,4229.37766814145,4059.377330792553
84,10.0,4206.528353982468,4026.515110524444
85,11.0,4351.182558937521,4251.823876561224
86,12.0,4528.3275567051805,4459.9935505917165
87,13.0,4449.645893866544,4390.626224125619
88,14.0,4505.028314437588,4449.904311585526
89,15.0,4415.990975513355,4426.429902551192
90,1.0,4600.0,4500.0
91,2.0,4245.367935688439,4140.059159014319
92,3.0,4631.106380633068,4485.672759716534
93,4.0,4633.26937442265,4446.622853753612
94,5.0,4541.459576858002,4297.294533041015
95,6.0,4552.465116529925,4291.284036872949
96,7.0,4607.1566918167255,4399.763038863097
97,8.0,4827.63543898111,4548.287406581252
98,9.0,5078.923294867737,4818.1248918207475
99,10.0,5327.318360656315,4801.198883779789
100,11.0,5180.804002052668,4753.479710426966
101,12.0,4996.18628699282,4683.559714973734
102,13.0,4664.520195310791,4436.886612821356
103,14.0,4745.521730186636,4473.926785967573
104,15.0,4775.011669883834,4474.055059379371
105,1.0,4600.0,4500.0
106,2.0,4555.461892560062,4546.5456645928325
107,3.0,4468.41399320095,4452.212345377205
108,4.0,4602.066624534302,4465.859789402659
109,5.0,4736.163247777902,4543.824732610928
110,6.0,4860.106948055513,4634.7290259740475
111,7.0,4735.957686404398,4542.748845974793
112,8.0,4830.9246342901,4609.663653323409
113,9.0,4953.780735583684,4660.949859566287
114,10.0,4975.048946423694,4563.202649197314
115,11.0,5052.852481378691,4588.903191610466
116,12.0,4749.2281347718335,4450.296997618842
117,13.0,4657.994705856554,4408.463262926139
118,14.0,4068.1513256475473,3993.2289045070133
119,15.0,4066.5208796243337,3994.123345761457
120,1.0,4600.0,4500.0
121,2.0,4622.356868142996,4662.171966948359
122,3.0,4736.582782517064,4757.302989871649
123,4.0,4586.7380432938935,4654.032949925292
124,5.0,4694.225022021858,4893.372248734487
125,6.0,4435.756782685697,4599.686992130935
126,7.0,4224.0536744460305,4538.49444897701
127,8.0,4091.610140337179,4534.202159548793
128,9.0,4230.454362786712,4621.873584649763
129,10.0,4095.163024572742,4531.553699462648
130,11.0,4013.0939639090757,4440.2945368146975
131,12.0,4176.172046462431,4676.936137675998
132,13.0,4353.764793746825,4870.708444506247
133,14.0,4219.5223082003795,4755.328488169872
134,15.0,4383.535517830313,4920.264996049845
135,1.0,4600.0,4500.0
136,2.0,4587.566330835956,4503.598124949934
137,3.0,4658.664363982079,4563.3401955549925
138,4.0,4745.424798879784,4668.930455510994
139,5.0,4751.483987373498,4787.073986835496
140,6.0,4762.806195559661,4893.292165219351
141,7.0,4696.3171032572445,4734.741216715128
142,8.0,4822.891921199612,4719.26830487144
143,9.0,5041.116864022551,4901.369405469167
144,10.0,5113.300674691169,4834.606001517183
145,11.0,5029.914520201222,4928.487548046188
146,12.0,4999.453170152473,4994.333978730883
147,13.0,5152.379865897101,5217.793714356962
148,14.0,5615.640532198326,5561.967546729781
149,15.0,5473.340035832099,5424.290128691217
150,1.0,4600.0,4500.0
151,2.0,4546.497692833734,4467.803438215707
152,3.0,4617.913795563432,4558.926882214039
153,4.0,4704.948903067471,4634.442051256206
154,5.0,4958.366255041468,4794.04210091033
155,6.0,5337.542764594833,5035.837799738772
156,7.0,5632.697848936585,5258.13556082595
157,8.0,5559.472150498804,5192.69487435624
158,9.0,5607.887735795365,5306.94435586452
159,10.0,5489.435828123435,5149.199946031422
160,11.0,5621.057243865022,5123.715450814441
161,12.0,5983.22766450329,5454.810461188941
162,13.0,5876.884466789465,5516.867233247013
163,14.0,6026.159759846003,5628.765659352298
164,15.0,6020.359727439909,5669.604934306888
165,1.0,4600.0,4500.0
166,2.0,4600.124921430428,4455.8112782648495
167,3.0,4734.865584220458,4549.982876364021
168,4.0,4824.179899256101,4614.628829578094
169,5.0,5060.731897736778,4715.768924476352
170,6.0,4859.271679707699,4681.135401373769
171,7.0,4355.102093720224,4426.241288729975
172,8.0,4512.729335285393,4630.880497175823
173,9.0,4326.898558776814,4584.720668933994
174,10.0,4425.525095145482,4715.354804947344
175,11.0,4634.247687265052,4951.237129505441
176,12.0,4552.315208996965,4902.265028476107
177,13.0,4689.787429784741,5086.752446134181
178,14.0,4535.273270938673,4949.700570719072
179,15.0,4456.023319648437,4935.971137600531
180,1.0,4600.0,4500.0
181,2.0,4366.0818749504715,4280.403356036746
182,3.0,4509.077319460598,4357.461908394885
183,4.0,4452.449982175763,4321.6598358668225
184,5.0,4587.588157488661,4533.900763545269
185,6.0,4679.227677188967,4603.084748017008
186,7.0,4577.1248168510865,4596.356566755739
187,8.0,4627.31273388171,4636.048423925626
188,9.0,5119.102848475258,4963.897564796343
189,10.0,5327.20844961377,5073.42432287083
190,11.0,5278.583170308633,5170.990308705809
191,12.0,5156.153078476189,5097.103314251153
192,13.0,5264.917381057417,5146.064948231483
193,14.0,5585.574564325541,5431.243460676231
194,15.0,5760.313633378688,5642.022880795894
195,1.0,4600.0,4500.0
196,2.0,4582.500297077433,4555.352315074024
197,3.0,4415.748815672477,4408.439537905757
198,4.0,4675.91530834921,4697.6942600417915
199,5.0,5010.7826334525535,4979.582748699573
200,6.0,5276.3323082167,5217.346216969346
201,7.0,4659.342570945509,4800.921283696301
202,8.0,4669.654664303253,4824.560015178797
203,9.0,4905.8884145224565,4952.103714691698
204,10.0,5100.608232870006,5043.764231259761
205,11.0,5380.037361982451,5171.590023269602
206,12.0,5550.802854203021,5259.142062969786
207,13.0,5841.228326747172,5537.493588955514
208,14.0,5566.75914548212,5310.087442004307
209,15.0,5319.048285155765,5199.535641766684
210,1.0,4600.0,4500.0
211,2.0,4594.762551726692,4493.772744977872
212,3.0,4781.114623599312,4675.840668839652
213,4.0,4823.762849814892,4636.63634533537
214,5.0,4639.946107327262,4507.659615435771
215,6.0,4576.995620298173,4494.3859223915115
216,7.0,4336.548429163779,4366.058424922231
217,8.0,4418.920344237845,4534.861762421553
218,9.0,4241.099631867122,4493.606383581504
219,10.0,4477.896926825128,4770.0822753906305
220,11.0,4491.285087041182,4712.628018550303
221,12.0,4360.94726409852,4534.2757946001975
222,13.0,4972.999574702701,5096.317099382304
223,14.0,5181.73800695653,5226.161573180984
224,15.0,5032.3572937835725,5154.608619964841
225,1.0,4600.0,4500.0
226,2.0,4587.841677844073,4351.36887169534
227,3.0,4689.7927900423,4443.7950336216245
228,4.0,4969.495201019462,4589.714058580469
229,5.0,5236.19434362808,4832.222630191334
